Player_Name,Nationality_Full,Position_FBref,Club_FBref,Matches_Played,Minutes_Played,Gls,Ast,PK,G_per_Sh_Standard,Cmp_percent_Total,TklW_Percent
Jeff Reine-Adélaïde,France,MF,"['Troyes', 'Lyon', 'RWDM']",40,1936.0,1,3,0,0.03,82.28,73.08
Jefferson Intriago,ECU,MF,['Mazatlán'],70,5616.0,1,3,0,0.03,89.63,62.38
Jefferson Lerma,Colombia,MF,"['Crystal Palace', 'Bournemouth']",71,5828.0,6,1,0,0.08,81.55,60.0
Jeffinho,Brazil,FW,['Lyon'],19,754.0,2,1,0,0.1,79.8,28.57
Jeffrey Bruma,Netherlands,DF,"['Heerenveen', 'RKC Waalwijk']",22,1054.0,0,0,0,0.0,86.04,70.59
Jeffrey De Lange,Netherlands,GK,"['Marseille', 'Go Ahead Eag']",69,6210.0,0,0,0,0.0,68.98,0.0
Jeffrey Gouweleeuw,Netherlands,DF,['Augsburg'],66,5724.0,1,1,0,0.03,73.98,67.07
Jeffrey Schlupp,GHA,Other,['Crystal Palace'],63,3883.0,5,3,0,0.11,73.91,67.31
Jeffry Puriel,BOE,FW,['Almere City'],2,55.0,0,0,0,0.0,71.43,0.0
Jeison Murillo,Colombia,DF,['Sampdoria'],20,1057.0,0,0,0,0.0,81.87,50.0
Jelle Bataille,Belgium,DF,['Antwerp'],77,5658.0,1,3,0,0.03,80.32,62.56
Jelle Vossen,Belgium,Other,['Zulte Waregem'],31,2330.0,9,2,3,0.16,67.92,52.94
Jens Cajuste,Sweden,MF,"['Reims', 'Napoli']",57,2546.0,3,3,0,0.07,83.05,59.76
Jens Grahl,Germany,GK,['Eint Frankfurt'],2,180.0,0,1,0,0.0,66.3,0.0
Jens Mathijsen,0,DF,['Willem II'],5,124.0,0,0,0,0.0,68.75,66.67
Jens Odgaard,DEN,MF,"['AZ Alkmaar', 'Bologna']",60,3176.0,13,6,0,0.11,68.16,54.84
